,pubmedID,ArticleTitle,AbstractText,PubYear,PubMonth
926,20185472,Tremor: a newly described adverse event with long-term itraconazole therapy.,"Itraconazole is a widely prescribed triazole antifungal drug, often given for long periods. The authors report five cases of tremor related to itraconazole therapy, which occurred within 1-12 months of initiating treatment and resolved gradually following itraconazole withdrawal.",2010,3
927,20190474,Acute kidney injury caused by zonisamide-induced hypersensitivity syndrome.,"Drug rash with eosinophilia and systemic symptoms (DRESS), also known as drug-induced hypersensitivity syndrome (DIHS), is a severe adverse drug reaction affecting multiple organs caused by drug treatment. The current report describes a man who was prescribed zonisamide for epilepsy and subsequently developed widespread skin rash, acute kidney injury, high-grade fever, eosinophilia, liver dysfunction, lymphadenopathy and an increase in antihuman herpesvirus-6 immunoglobulin G titer. Hypersensitivity to zonisamide was confirmed by the skin patch test. Based on these findings, the patient was diagnosed with DRESS/DIHS caused by zonisamide. This is the first report of acute kidney injury due to zonisamide-induced DRESS/DIHS.",2010,0
928,20199429,Reactions to Aquaphor: is bisabolol the culprit?,"Bisabolol is a sesquiterpene alcohol compound derived from the German chamomile plant, a member of the Compositae family. Only two case reports of adults with allergic contact dermatitis to this chemical exist in the literature, and we describe three more cases of children with recalcitrant atopic dermatitis found to have potential allergic contact dermatitis to bisabolol- a component of the Aquaphor emollient they were using to treat their atopic dermatitis. Of note, Compositae dermatitis has been shown to have a higher prevalence in children with atopic dermatitis, so it is important for physicians to be aware of the potential allergens (like bisabolol) in products they are recommending as first line treatments.",0,0
929,20203465,Case report: acute renal failure after administering intravenous immunoglobulin.,"We report the case of an 87-year-old white woman with myasthenia gravis who presented with nausea, shortness of breath, azotemia, and hyperkalemia shortly after completing a course of intravenous immunoglobulin (IVIG). She had been receiving monthly transfusions of IVIG, but this time had received daily infusions for 5 days rather than 1 day. She had received this same dose in the past without incident. Her history was significant for coronary artery disease, atrial fibrillation, deep venous thrombosis, pulmonary embolism, chronic steroid use, and recurrent urinary tract infection. On examination, she was slightly confused, mildly dehydrated, had a grade II systolic ejection murmur along the upper left sternal border, had bilateral and symmetric mild weakness of the upper and lower extremities, and exhibited mild edema of the lower extremities. Before transfer from the emergency room, she was found to have an elevated serum urea nitrogen and creatinine of 55 and 5.8 mg/dL (19.6 mmol/L and 512.7 micromol/L, respectively). Creatinine 8 days earlier was 0.9 mg/dL (79.6 micromol/L). The hospital course of the acute renal failure is presented with a review of the literature on cases of acute renal failure after IVIG.",2010,3
930,2022118,Coexistence of bulimia nervosa and mania: a literature review and case report.,"A literature review of the relationship between bulimia and affective disorder showed that the evidence from empirical research and case report studies suggests that a sizeable subgroup of bulimics suffer from bipolar disorder as well as bulimia and may benefit from antimanic medications such as lithium. A case report is presented of a bulimic patient with manic symptoms who was successfully treated with lithium. However, the use of lithium should be avoided with any patient who is purging, since it may exacerbate the loss of intracellular potassium, thereby increasing the risk of cardiac toxicity.",0,0
931,20234160,Severe vancomycin-induced anaphylactic reaction.,"Vancomycin is widely used against methicillin-resistant Staphylococcus aureus infections, but it is associated with many adverse effects such as nephrotoxicity, ototoxicity, gastrointestinal disturbances, blood disorders, and two types of hypersensitivity reactions - an anaphylactoid reaction known as ""red man syndrome"" and anaphylaxis. We report a case of a 23-year-old man who developed a vancomycin-induced anaphylactic reaction in the treatment of methicillin-resistant Staphylococcus aureus infection.",2010,0
932,2028358,Pulmonary oedema after hexoprenaline administration in preterm labour. A report of 4 cases.,Despite the widespread use of beta-sympathomimetic agents for preterm labour there appears to be a limited appreciation of the need for cardiovascular monitoring in the mother. Four patients in whom pulmonary oedema developed during tocolysis with hexoprenaline are described and the aetiological factors and pathogenesis of this potentially lethal complication discussed. Guidelines for the safe use of hexoprenaline in preterm labour are suggested.,1991,5
933,20298401,Fatal interstitial lung disease after erlotinib administration in a patient with radiation fibrosis.,"Although gefitinib used for the treatment of non-small-cell lung cancer is a well-known cause of interstitial lung disease (ILD), few case reports on erlotinib-induced ILD have been issued. The common risk factor of both of these two drug-induced ILDs is idiopathic interstitial pneumonia, but ILD in a patient with radiation fibrosis has not been previously reported.
Report of a case.
We recently experienced a case of fatal erlotinib-induced ILD, diagnosed based on clinical and radiologic findings, which occurred in a patient with radiation fibrosis. A 50-year-old male patient was started on erlotinib as a third-line chemotherapy. Six days after taking erlotinib, a chest radiograph showed rapid progression of reticular infiltration in both lung fields. High-resolution computed tomography scan findings were consistent with ILD, which was sufficient to diagnose as erlotinib-induced ILD. The patient died of respiratory failure after 8 days of steroid infusion and erlotinib discontinuation.
Our case shows a fatal side effect of erlotinib. This case had radiation fibrosis, so we suggest that radiation fibrosis may be another contributor of the occurrence of ILD in patients taking erlotinib.",2009,7
934,20338114,Concentrated topical epinephrine is safe in endoscopic sinus surgery.,"The safety of topical epinephrine (1:1000 concentration) has recently been called into question. No objective data have been presented examining this issue.
We retrospectively reviewed all cases of endoscopic sinus surgery performed by the senior authors at their respective institutions. Perioperative records were reviewed for use of topical 1:1000 epinephrine and for any intraoperative or postoperative complications related to its use.
During the study periods, 1998 cases of endoscopic sinus surgery were identified where topical 1:1000 epinephrine was used. Two complications were identified (0.1%), one at each institution. One patient suffered coronary artery vasospasm, attributed to the use of topical 1:1000 epinephrine during surgery. The other patient developed transient intraoperative hypertension immediately after inadvertent submucosal injection of concentrated epinephrine. This event was caused by an erroneous switch with the 1% lidocaine/1:100,000 solution. This error occurred early in the institution's experience with concentrated topical epinephrine. After implementation of additional preventative safeguards, no further errors or complications have occurred.
Concentrated epinephrine has the potential for complications when used during endoscopic sinus surgery. Nevertheless, with appropriate safeguards described in this study, its topical use is safe.",0,0
935,20349794,Cisplatin-induced syndrome of inappropriate antidiuretic hormone (SIADH) in a patient with neuroendocrine tumor of the cervix: a case report and review of the literature.,"We present a case of the syndrome of inappropriate antidiuretic hormone (SIADH) secondary to cisplatin therapy in a patient with advanced-stage large cell neuroendocrine carcinoma of the cervix. This occurred after the first cycle of cisplatin and then again after the second cycle. Carboplatin was substituted for cisplatin, and there were no further episodes of SIADH.",2010,0
936,20367573,Thrombocytosis associated with enoxaparin: A very rare cause in newborns.,"Newborn infants are most vulnerable to the development of thrombosis because of the developing neonatal hemostatic system, perinatal risk factors and different types of medical conditions. Enoxaparin is the current anticoagulant of choice with advantages for the treatment of neonatal thrombosis. Thrombocytosis induced by enoxaparin has been reported as a rare adverse effect of this medication in adults. However, to our knowledge, in newborns there have been no reported cases to date of thrombocytosis induced by enoxaparin.",2010,0
937,20378385,Visceral leishmaniasis and macrophagic activation syndrome in a patient with rheumatoid arthritis under treatment with adalimumab.,"Visceral leishmaniasis is a protozoan infection usually asymptomatic, but can progress to fatal disease in immunocompromised hosts, especially in HIV patients. Visceral leishmaniasis is rare among patients under immunosuppressive therapies, and even more among patients under anti-TNF-alpha treatment, where only four cases have been described.
1) To describe a patient with rheumatoid arthritis receiving adalimumab who developed fever, pancytopenia, splenomegaly, and extreme hyperferritinemia. 2) To perform a review of the published cases of visceral leishmaniasis and anti-TNF-alpha therapy, and cases of coexisting leishmaniasis and macrophagic activation syndrome by search in PubMed (period 1991-2008).
Visceral leishmaniasis was established by bone marrow aspiration, and although there was no histological confirmation, according to HLH-2004 criteria, a secondary macrophagic activation syndrome was established. The patient had a favourable outcome.
We report herein the fifth case of visceral leishmaniasis in a patient under TNF-alpha therapy, and the first one, to our knowledge, presenting a consequent secondary macrophagic activation syndrome.",2010,5
938,2038845,Complications in the use of prochlorperazine.,"This case presentation is of a patient who had the clinical appearance of epiglottitis, but actually had an oro-pharyngeal dystonic reaction to prochlorperazine. The intent of the discussion is to alert physicians that the appearance of epiglottis can occur from causes other than infection and that a surgical airway should not be the first thought when such a case arises.",1991,2
939,20397038,Normalization of generalized retinal function and progression of maculopathy after cessation of therapy in a case of severe hydroxychloroquine retinopathy with 19 years follow-up.,"A 40-year-old Caucasian female was first seen 20 years ago for a routine ocular screening in relation to hydroxychloroquine treatment for systemic lupus erythematosus. Her daily dose was 600 mg (or 12 mg/kg of body weight/day) of hydroxychloroquine. Three years later, she complained of mild visual loss in the right eye. Her best-corrected visual acuity was 0.9 in the right (RE) and 1.0 in the left eye (LE). In addition, she had a central scotoma (RE > LE) on automated visual field analysis (Humphrey central 30 degrees ). On fundoscopy and fluorescein angiography, the first signs of a bilateral bull's eye maculopathy were detected. A decreased Arden ratio on EOG (<1.50) was found with an accompanying decreased amplitude of the scotopic b-wave on full-field electroretinography in both eyes. Consequently, the treatment was immediately stopped. During the following years, the patient was retested regularly. After more than 18 years after cessation of the drug, most tests showed a further deterioration, including best-corrected visual acuity (RE: 0.1; LE: 0.7). On visual field testing, a progressive evolution to a total and absolute central scotoma in the RE (central 10 degrees ) and an annular scotoma in the LE became apparent. In contrast, a partial recovery of the Arden ratio of the EOG to 1.8 in both eyes was seen. In addition, a partial recovery of the scotopic b-wave full-field ERG was noted 19 years after cessation of treatment. At retest visits respectively 18, 19 and 20 years after cessation of hydroxychloroquine, a multifocal electroretinogram was performed in combination with colour vision tests and contrast sensitivity measurements.",2010,6
940,20412003,Trimethoprim-sulfamethoxazole-induced hepatotoxicity in a pediatric patient.,"Due to the escalating rates of community-acquired methicillin-resistant Staphylococcus aureus (CA-MRSA) infection, trimethoprim-sulfamethoxazole (TMP-SMX) is being used increasingly in the pediatric population for skin and soft tissue infections. Although this combination agent has been associated with a hypersensitivity syndrome involving cutaneous skin eruptions, pediatric cases of TMP-SMX-induced hepatotoxicity are rare. We describe a relatively healthy, 9-year-old boy who developed a CA-MRSA skin and soft tissue infection and was treated with TMP-SMX. After 14 days of therapy, he was taken to the emergency department with a 3-day history of fever, headache, and neck pain. He was diagnosed with a viral syndrome, acetaminophen was prescribed, and he was sent home. Three days later, the patient returned to the emergency department with fever, vomiting, decreased energy and appetitie, and suprapubic abdominal pain, and he was hospitalized. Laboratory test results revealed elevated liver function test values. After other potential causes of liver toxicity were excluded, TMP-SMX was determined to be the cause of his acute liver toxicity. The drug was discontinued, his symptoms resolved, and his liver function tests returned to normal. Use of the Naranjo adverse drug reaction probability scale indicated a probable relationship (score of 5) between the patient's development of hepatotoxicity and the TMP-SMX therapy. This rare adverse reaction to TMP-SMX has been reported in adults; however, to our knowledge, it has been reported in only five other children. Due to the increasing use of TMP-SMX in children, clinicians should be aware of this potentially life-threatening, immunemediated hypersensitivity reaction. Fortunately, however, the hepatotoxicity appears to resolve after discontinuation of the TMP-SMX therapy in most reported cases. This case report illustrates the importance of early detection of drug-induced hepatotoxicity and timely drug discontinuation to prevent the need for liver transplantation.",2010,5
941,2042691,Goiter and hypothyroidism during re-treatment with amiodarone in a patient who previously experienced amiodarone-induced thyrotoxicosis.,"A 55-year-old woman who had been receiving treatment with amiodarone for recurrent supraventricular tachyarrhythmias became thyrotoxic after 30 months of treatment. The thyroid gland was not enlarged or tender. Amiodarone was discontinued, and thyrotoxicosis gradually abated. A thyroid scan performed at that time revealed a gland of normal size and texture. Six months later, amiodarone treatment was reinstated due to life-threatening tachyarrhythmia; however, the patient remained euthyroid. Three years later, multinodular goiter began to develop, and 5 years after that, the patient became hypothyroid. Tests for thyroid autoantibodies, as well as inhibitory and stimulatory antibodies, were negative, and fine needle aspiration biopsy revealed an adenomatous goiter. Treatment with amiodarone was continued; however, therapy with L-thyroxin was initiated, followed by a complete regression of the goiter. The patient has since required a maintenance dose of L-thyroxin. The possible mechanisms by which iodine-containing drugs induce thyroid disfunction are reviewed, suggesting this case was caused by an alteration in the sensitivity of the intrinsic autoregulation of the thyroid gland to iodine.",1991,6
942,20465622,Severe aphthous stomatitis associated with oral calcineurin and mTOR inhibitors.,"Aphthous stomatitis, a common mucocutaneous disorder, is a well accepted complication of sirolimus therapy. This association has been reported less frequently with tacrolimus.
We present an 11-year old male with Budd-Chiari syndrome who experienced profound worsening of chronic aphthous ulcers after immunosuppressive therapy was changed from tacrolimus to sirolimus.
Since these drugs are used widely in the pediatric transplantation population, this report serves to heighten awareness of this debilitating phenomenon, and to stress the importance of exercising caution when sirolimus and tacrolimus are administered in combination to pediatric patients.",2010,1
943,2048579,Effects of the methylprednisolone pulse therapy on renal function.,"The effect of the methylprednisolone (MP) pulse therapy on renal function was examined in 15 patients with renal or collagen disease. Three nephrotic patients who had reduced renal function and active renal disease with progressive deterioration of renal function prior to the use of MP developed transient renal failure following an MP pulse therapy. The renal failure in each case was reversed by discontinuation of MP and/or by forced diuresis using albumin and furosemide. We examined the correlations between the individual changes in serum creatinine (Scr), body weight (BW) and urine volume (UV) before and after the pulse therapy and other laboratory data such as Scr, total serum protein and albumin. There were significant correlations between a change in Scr on the one hand and changes in BW and UV, Scr and serum albumin on the other. These findings mean that the effect of the MP pulse therapy on renal function depends on the clinical state of the patient and that renal deterioration after the pulse therapy may be more marked in patients who are more nephrotic and more impaired in renal function and suggest that increasing sodium and water retention during an MP therapy and the associated renal interstitial edema, proposed as one of the mechanisms of acute renal failure occurring in patients with minimal-change nephrotic syndrome, may be responsible for the MP-induced transient renal failure.",1991,0
944,2051906,Reversible cholestasis with bile duct injury following azathioprine therapy. A case report.,"A 67-year-old patient, with primary polymyositis and without previous evidence of liver disease, developed clinical and biochemical features of severe cholestasis 3 months after initiation of azathioprine therapy. Liver biopsy showed cholestasis with both cytological and architectural alterations of interlobular bile ducts. Azathioprine withdrawal resulted after 7 weeks in the resolution of clinical and biochemical abnormalities. It is believed that this is the first reported case of reversible azathioprine-induced cholestasis associated with histological evidence of bile duct injury.",1991,4
945,2063999,A case of the Rett syndrome with acute encephalopathy induced during calcium hopantenate treatment.,"We report a girl with the Rett syndrome who had acute encephalopathy probably induced by calcium hopantenate (HOPA). This 4-year-6-month-old girl had a history of moderate developmental delay and had received HOPA administration when first admitted at 2 years 6 months of age with hypoglycemia, hyperammonemia, lactic and pyruvic acidemia, and non-ketotic dicarboxylic aciduria. After this episode, she showed the rapid destructive stage of the Rett syndrome, i.e., severe psychomotor retardation with loss of speech, peculiar stereotypic hand movements, autistic behavior and seizures. Despite subsequent investigations, including analysis of urinary metabolites of organic and amino acids, measurement of serum carnitine and a muscle biopsy, we could not clarify the primary metabolic abnormalities in this girl.",1991,0
946,2076372,Persistent light reactivity from systemic quinine.,A 41-year-old black female with psoriasis developed photosensitivity and a Koebner reaction while receiving phototherapy. She had been receiving oral quinine intermittently for muscle cramps. Photobiological evaluation revealed a strongly positive photopatch test to quinine sulfate and a marked persistent reduction in the minimal erythema dose to solar-simulated radiation in the uninvolved skin. There were no abnormal reactions to UVA. The photosensitivity is still present 3 years after the withdrawal of quinine. These features are similar to those observed previously in persistent light reactors to topical photosensitizers.,1990,8
947,2104570,Secondary hematologic neoplasm after intravesical chemotherapy for superficial bladder carcinoma.,"Two cases are reported of patients who developed a hematologic malignancy several years after intravesical chemotherapy of superficial bladder cancer with etoglucid, doxorubicin, and mitomycin C. In one patient, karyotypic abnormalities (-5, 7q-) typical of a therapy induced malignancy were associated with rapid progression of a refractory anemia with excess blasts in transformation to an acute non-lymphocytic leukemia. Intravesical chemotherapy may be associated with a risk of secondary malignancy.",1990,1
948,2113320,Subglottic stenosis in Wegener's granulomatosis: development during cyclophosphamide treatment with response to carbon dioxide laser therapy.,A patient with Wegener's granulomatosis rapidly developed a circumferential subglottic stenosis while on a cyclophosphamide regimen that had caused resolution of systemic symptoms and pulmonary infiltrates. The stenosis developed in the area of previously noted tracheal ulceration and responded satisfactorily to carbon dioxide laser therapy.,1990,4
949,2116935,Splenic hemorrhage: a complication of tissue plasminogen activator treatment.,"Thrombolytic therapy with tissue plasminogen activator (tPA) for acute myocardial infarction may result in major bleeding complications such as gastrointestinal or intracranial bleeding. A case is described of severe splenic hemorrhage and rupture which developed 3 h after completion of tPA infusion for suspected acute myocardial infarction. The patient developed hypovolemic shock with abdominal pain and distension and further evidence of myocardial necrosis. A computed tomography scan of the abdomen was helpful in elucidating the diagnosis, and surgical splenectomy resulted in a good patient outcome, though the period of hypotension had increased the extent of myocardial necrosis.",1990,6
950,2140997,Severe hepatitis caused by cyproterone acetate.,A case of severe acute hepatitis caused by cyproterone acetate in a 71 year old man with prostatic carcinoma is reported with a review of the literature on hepatic reactions to this drug. The association between the use of cyproterone acetate and liver abnormalities is poorly documented. This is the fourth published report of adverse hepatic reaction to cyproterone acetate and it substantiates other evidence that cyproterone acetate is potentially hepatotoxic. Monitoring of liver function tests should be mandatory in patients receiving high doses of cyproterone acetate; the drug should be withdrawn immediately if abnormal liver function tests are found.,1990,5
951,2144305,"Transient, nonpigmenting fixed drug eruption caused by radiopaque contrast media.","A unique case of a transient, nonpigmenting fixed drug eruption caused by the radiopaque contrast medium iothalamate is reported. The patient had on the medial aspect of the thigh a fixed solitary, recurrent, indurated, erythematous plaque, which resolved within 2 days. The scant literature available on nonpigmenting fixed drug eruptions is reviewed.",1990,8
952,2147700,Widespread dermatophyte infections that mimic collagen vascular disease.,This article reports the cases of two patients in whom a widespread dermatophyte infection mimicked the cutaneous lesions of their underlying collagen vascular disease. Griseofulvin may be associated with an increased incidence of adverse cutaneous reactions in patients with systemic lupus erythematosus. One patient with systemic lupus erythematosus developed erythema multiforme after taking griseofulvin.,1990,11
953,2154663,Radiotherapy enhances the toxicity of aminoglutethimide.,"We report a case of radiotherapy-enhanced aminoglutethimide skin toxicity in a patient with metastatic breast cancer. This patient was started on aminoglutethimide 6 days prior to radiation therapy, for painful bone metastasis. On day 7 of radiation therapy, she developed an extensive erythematous maculopapular rash over her face, trunk, and extremities. The rash was confluent over the radiation ports, both anteriorly and posteriorly. Aminoglutethimide was discontinued until completion of radiotherapy, and the rash resolved. Concomitant irradiation apparently enhanced the skin toxicity of aminoglutethimide or possibly aminoglutethimide had a radiosensitizing role in this patient.",1990,0
954,2161782,Four case reports presenting new acquisitions on the association between breast and endometrial carcinoma.,"In recent years, the association between breast and endometrial cancer has been the subject of many studies. The present report describes four cases of this association in which tamoxifen had been administered to all of the patients. Data have been published regarding the possibility that tamoxifen may be responsible for the subsequent development of carcinoma of the corpus uteri in these patients. The authors intend to carry out a case-control study on patients treated with tamoxifen for breast carcinoma to reveal the possible presence of endometrial carcinoma.",1990,6
955,2196696,Disulfiram-induced hepatitis.,"We reported a case of disulfiram-induced hepatitis with unique clinical features and compared our case with others in the literature. Our patient had headache, mild fever, nausea, vomiting, rash, and eosinophilia after 3 weeks of disulfiram therapy. Subsequent liver biopsy showed low-grade lobular hepatitis. After disulfiram therapy was discontinued, symptoms subsided and results of liver function tests returned to normal.",1990,7
956,2204409,Methotrexate-induced leukoencephalopathy is treatable with high-dose folinic acid: a case report and analysis of the literature.,"An episode of leukoencephalopathy is reported in a 13-year-old girl who, after standard radiotherapy for a posterior fossa medulloblastoma, received 8 treatments with a protocol containing a 4-hour infusion of 500 mg/m2 methotrexate and 12 mg intrathecal methotrexate. The leukoencephalopathy, documented clinically and by CT and EEG, cleared after 2350 mg of leucovorin (citrovorum factor, folinic acid) was given in addition to the 135 mg given as part of the therapy. A review of the literature suggests that leukoencephalopathy may be prevented by high doses of leucovorin and can be treated by high doses, if lower doses were used initially. When high dose leucovorin was not used, residual neurological damage is not unusual.",1990,0
957,2212262,White clot syndrome and continuous arteriovenous haemofiltration.,Severe heparin associated thrombocytopenia is a rare complication of heparin therapy. We report a patient who developed heparin associated thrombocytopenia during continuous arteriovenous haemofiltration and discuss its implications and alternative anticoagulant treatment.,1990,0
958,2219619,Acute aluminum toxicity after continuous intravesical alum irrigation for hemorrhagic cystitis.,An encephalopathy and cardiomyopathy developed in a seventeen-year-old girl with chemotherapy-induced renal failure while receiving an intravesical aluminum infusion for hemorrhagic cystitis. Premortem serum and postmortem tissue aluminum levels were markedly elevated. It is likely that her inability to excrete absorbed aluminum contributed to her death. Aluminum infusions should be used with caution in patients with renal failure.,1990,10
959,2224786,Chemotherapy-related hemolytic-uremic syndrome after the treatment of head and neck cancer. A case report.,"A 62-year-old woman who was being treated for squamous cell carcinoma of the head and neck developed a chemotherapy-related hemolytic-uremic syndrome during the second cycle of neoadjuvant chemotherapy consisting of cisplatin, bleomycin, and methotrexate. Though the syndrome was suspected early, attempts at reversing the hematologic and renal abnormalities were unsuccessful. At postmortem examination, the characteristic microvascular lesions of the hemolytic-uremic syndrome were found in the kidneys.",1990,11
960,2229534,Severe lidocaine intoxication by cutaneous absorption.,A severe lidocaine intoxication by cutaneous absorption is described. Data are presented to show a significant absorption of lidocaine through diseased skin when lidocaine cream is used as a local anesthetic. Awareness of this route of intoxication might be important in patients in whom neurologic or psychiatric symptoms develop while large amounts of lidocaine cream are being used.,1990,11
961,2234880,Nitrendipine-induced gingival hyperplasia. First case report.,"Drug-induced gingival hyperplasia is well documented within the literature. It has been associated with phenytoin, cyclosporine, and calcium channel blocking agents. Nitrendipine is an experimental calcium channel blocking agent that also appears to cause the side effect of drug-induced gingival hyperplasia. The clinical and histologic presentation of this side effect and possible biochemical mechanisms of pathogenesis are discussed.",1990,11
962,2241449,Sulfadiazine crystalluria revisited. The treatment of Toxoplasma encephalitis in patients with acquired immunodeficiency syndrome.,"Toxoplasma gondii encephalitis is an important opportunistic infection in the acquired immunodeficiency syndrome, estimated to occur in 20,000 to 40,000 patients with acquired immunodeficiency syndrome in the United States by 1991. The combination of sulfadiazine and pyrimethamine is regarded as the treatment of choice. Acute renal failure due to crystal deposition in the urinary tract was well described 30 to 40 years ago and is likely to resurface as a clinical entity if appropriate prophylactic measures are not taken. We describe two cases of sulfadiazine-induced crystalluria and renal failure in patients with acquired immunodeficiency syndrome, review the pertinent literature, and discuss the pathogenesis. Recommendations are made for the prophylaxis and treatment of sulfadiazine-related renal toxic reaction. Physicians using this ""new"" drug must be aware of the potential danger of sulfonamide-induced injury to the urinary tract.",1990,11
963,2250853,Glaucoma secondary to epithelial downgrowth and 5-fluorouracil.,"Since epithelial downgrowth involves an actively proliferating intraocular tissue, it is possible that the antimetabolite 5-fluorouracil may inhibit it. We report a case of secondary glaucoma caused by epithelial downgrowth in which filtration surgery was performed with adjunctive use of subconjunctival 5-fluorouracil. On cessation of the injections, the retrocorneal membrane grew rapidly to involve the entire posterior cornea. The eye eventually became blind and painful and was enucleated. The use of 5-fluorouracil given in the usual manner appears to have been a failure.",1990,10
964,2257522,Antacid and sucralfate-induced hypophosphatemic osteomalacia: a case report and review of the literature.,"A 42-year-old woman presented to our institution with a 2-week history of bone pain in the lower extremities. Her history was remarkable for duodenal ulcer and long-term treatment with a magnesium-aluminum hydroxide antacid (Maalox) and sucralfate. Initial laboratory studies showed severe hypophosphatemia and elevated alkaline phosphatase and serum 1,25-dihydroxyvitamin D levels. Bone scan showed multiple areas of increased uptake consistent with osteomalacia and microfractures. The patient recovered completely following withdrawal of antacids and sucralfate and short-term treatment with phosphate. Although hypophosphatemia induced by aluminum-containing antacids is rare, treatment of peptic ulcer disease with a combination of two aluminum-containing agents may increase the risk of clinically significant hypophosphatemia. Awareness of this condition is important, because early recognition can prevent morbidity and lead to safe and effective treatment.",1990,11
965,2276822,Cardiobacterium hominis endocarditis in a patient with a hypersensitivity reaction to penicillin. Successful treatment with partial resection of the posterior mitral valve leaflet and antibiotic therapy with cefazolin.,"A 43-year-old patient with preexisting mitral valve prolapse and Cardiobacterium hominis endocarditis with partial destruction of the posterior mitral valve leaflet is described. Successful treatment was achieved with partial resection of the posterior mitral valve leaflet and antibiotic therapy. Because of a hypersensitivity reaction, initial therapy with penicillin G and gentamicin was stopped and substituted with cefazolin. No relapse of endocarditis was observed after 12 months of follow-up. Using micro broth dilution technique the isolated strain was shown to be most susceptible to penicillin G, cephalothin, and ciprofloxacin, with minimal inhibitory concentrations of 0.00025, 0.004, and 0.002 mg/l, respectively; and with minimal bactericidal concentrations (99.9% killing) of 0.25, 0.12, and 0.008 mg/l, respectively. We conclude that cephalosporins of the first generation or ciprofloxacin may be good alternatives to penicillin G in the treatment of C. hominis infection in patients known to be hypersensitive to penicillin.",0,0
966,228648,Maternal immunosuppression and cytomegalovirus infection of the fetus.,Prenatal cytomegalovirus (CMV) infection associated with severe brain damage was detected in an infant whose mother had been treated with prednisolone and azathioprine for systemic lupus erythematosus (SLE). Serology showed that maternal CMV infection had been acquired at least four months before pregnancy. Screening for CMV infection in pregnant women receiving immunosuppressive drugs is recommended.,1979,8
967,2292051,Acute coronary events following cisplatin-based chemotherapy.,"Six patients with no previous signs or symptoms suggestive of coronary artery disease developed acute coronary ischemia/infarction shortly after cis-diamine-dichloroplatinum II (cisplatin) -based chemotherapy. In two patients this was the sole chemotherapeutic agent used. One patient underwent coronary angiography which disclosed no pathology, but following which, while on a calcium channel blocking agent regimen, he had an uneventful course of chemotherapy with cisplatin. Documentation of cisplatin-related vascular events is important in view of the growing number of patients who undergo cisplatin-based chemotherapy.",1990,0
968,2295443,Bowel perforation associated with intraperitoneal chromic phosphate instillation.,Intraperitoneal chromic phosphate is widely used as adjuvant therapy in the treatment of early-stage ovarian epithelial carcinoma. Delayed bowel injury is an infrequently observed complication of chromic phosphate administration. This report presents a case of colon perforation which occurred 4 months after treatment with intraperitoneal chromic phosphate for stage IB ovarian papillary serous cystadenocarcinoma.,1990,1
969,2297635,Early blindness and coma during intrathecal chemotherapy for meningeal carcinomatosis.,"A 35-year-old woman was treated with intraventricular methotrexate (MTX) with a total dose of 70 mg followed by cytosine arabinoside (Ara-C) with a total dose of 80 mg for meningeal metastasis of breast carcinoma. Radiation therapy was not given. Despite a response of the meningeal tumor the patient developed in the third week of MTX treatment a progressive visual loss and loss of consciousness which worsened during subsequent Ara-C treatment and led to death within 3 weeks. Postmortem examination revealed only minimal neoplastic infiltration of the meninges. Multiple foci of axonal degeneration and demyelination were found in the optic nerves and chiasm, the superficial layers of the brainstem, and spinal cord and to some extent in other cranial nerves and spinal nerve roots. The possible causes of this previously unreported early complication are discussed.",1990,2
970,2299784,Bromide intoxication secondary to pyridostigmine bromide therapy.,"The diagnosis of bromide intoxication is often aided by the detection of a low or negative anion gap due to the laboratory detection of bromide as chloride. A 59-year-old woman with myasthenia gravis who received a large dose of pyridostigmine bromide developed postoperative psychosis and was diagnosed as having bromide intoxication. The diagnosis was suspected in the setting of a negative anion gap and only later confirmed by direct measurement of the serum bromide level. To our knowledge , this is the first reported case of bromide intoxication due to pyridostigmine bromide administration.",1990,2
971,2302898,Diazepam abuse in pregnant women on methadone maintenance. Implications for the neonate.,"The authors found that the course and treatment of narcotic withdrawal in two neonates was complicated by prenatal exposure to high doses of diazepam, or Valium (Roche Laboratories, Nutley, NJ). Both of the mothers were on methadone maintenance for narcotic dependency prior to the diagnosis of pregnancy. The authors documented maternal intake of diazepam in the range of 40-60 mg/day for a duration of 4-27 weeks prior to delivery. Both infants initially responded well to medical therapy for narcotic withdrawal, but at 7-14 days of age, withdrawal symptoms intensified, requiring an increase in the dosages of Paregoric (UDL Laboratories, Rockford, IL) and opium tincture in both infants and the addition of phenobarbital therapy in one infant. Both infants continued on medical therapy until they reached 1 month of age. Diazepam use by pregnant women can be associated with a later presentation of withdrawal symptoms in the neonate than that induced by the use of other drugs. Close follow-up during the first month of life is warranted for infants exposed to diazepam prenatally.",1990,2
972,2305654,Nimodipine: evidence for clinically significant gastrointestinal side-effects.,"Nimodipine, now widely used for treatment and prevention of cerebrovascular spasm, is regarded as a safe drug. Despite a preferential action on cerebral vessels, there is clinical and experimental evidence of effects on systemic vascular and intestinal smooth muscle cells. Gastro-intestinal side-effects, however, have not been reported in clinical studies dealing with treatment of vasospasm following subarachnoid haemorrhage. We report on a patient with subarachnoid haemorrhage who developed an acute life-threatening pseudo-obstruction of the colon, a variant of adynamic ileus, while being treated with intravenous nimodipine. The relationship between this complication and calcium antagonist therapy is discussed and therapeutic strategies are presented. We conclude that neurosurgeons and neurologists should be aware of calcium antagonist--related ileus in patients treated with nimodipine.",1990,0
